pair,alt,n_pts,length_m,width_m,buffer_m,half_extent_m,min_clearance_m,corridor_area_m2,mean_risk,max_risk,mean_conflict,corridor_length_m
DB01_to_DK04#alt0,0,44,2833.5,50.0,12.5,37.5,50.0,141673.0,0.5168,0.8465,0.0,
DB01_to_DK04#alt1,1,35,2072.8,50.0,12.5,37.5,50.0,103640.0,0.7275,0.8465,0.0,
DB01_to_DK04#alt2,2,76,4474.9,50.0,12.5,37.5,50.0,223744.0,0.6685,0.8465,0.0,
DB01_to_DK04#alt3,3,38,2326.3,50.0,12.5,37.5,50.0,116317.0,0.4801,0.8465,0.0,
DB01_to_DK04#alt4,4,60,3633.5,50.0,12.5,37.5,50.0,181673.0,0.349,0.8465,0.0,
DB01_to_DK04#alt5,5,26,1602.1,50.0,12.5,37.5,50.0,80104.0,0.7597,0.8465,0.0,
DB01_to_DK04#alt6,6,31,1789.9,50.0,12.5,37.5,50.0,89497.0,0.7645,0.8465,0.0,
DB01_to_DK04#alt7,7,119,7432.6,50.0,12.5,37.5,50.0,371630.0,0.6078,0.8465,0.0,
DB02_to_DK01#alt0,0,32,1798.5,50.0,12.5,37.5,461.0,89926.0,0.0961,0.2151,0.0,
DB02_to_DK01#alt1,1,42,2339.9,50.0,12.5,37.5,403.1,116997.0,0.1177,0.2609,0.0,
DB02_to_DK01#alt2,2,14,857.1,50.0,12.5,37.5,452.8,42855.0,0.1297,0.2211,0.0,
DB02_to_DK01#alt3,3,36,2122.8,50.0,12.5,37.5,350.0,106140.0,0.0876,0.281,0.0,
DB02_to_DK01#alt4,4,17,986.4,50.0,12.5,37.5,461.0,49320.0,0.1032,0.2151,0.0,
DB02_to_DK01#alt5,5,61,3434.9,50.0,12.5,37.5,250.0,171746.0,0.154,0.3784,0.0,
DB02_to_DK01#alt6,6,15,886.4,50.0,12.5,37.5,450.0,44320.0,0.1449,0.2231,0.0,
DB02_to_DK01#alt7,7,20,1198.5,50.0,12.5,37.5,461.0,59926.0,0.0881,0.2151,0.0,
DB01_to_DK01#alt0,0,118,7299.7,50.0,12.5,37.5,50.0,364987.0,0.3129,0.8465,0.0,
DB01_to_DK01#alt1,1,192,11911.0,50.0,12.5,37.5,50.0,595551.0,0.3114,0.8465,0.0,
DB01_to_DK01#alt2,2,90,5568.4,50.0,12.5,37.5,50.0,278419.0,0.2445,0.8465,0.0,
DB01_to_DK01#alt3,3,78,4678.4,50.0,12.5,37.5,50.0,233921.0,0.2558,0.8465,0.0,
DB01_to_DK01#alt4,4,159,9743.3,50.0,12.5,37.5,50.0,487163.0,0.3975,0.8465,0.0,
DB01_to_DK01#alt5,5,68,4012.7,50.0,12.5,37.5,50.0,200637.0,0.4669,0.8465,0.0,
DB01_to_DK01#alt6,6,109,6787.6,50.0,12.5,37.5,50.0,339381.0,0.3794,0.8465,0.0,
DB01_to_DK01#alt7,7,78,4637.0,50.0,12.5,37.5,50.0,231850.0,0.3275,0.8465,0.0,
DB02_to_DK02#alt0,0,40,2633.5,50.0,12.5,37.5,70.7,131673.0,0.3219,0.79,0.0,
DB02_to_DK02#alt1,1,45,2614.2,50.0,12.5,37.5,50.0,130711.0,0.3277,0.8465,0.0,
DB02_to_DK02#alt2,2,54,3374.9,50.0,12.5,37.5,350.0,168744.0,0.2053,0.3114,0.0,
DB02_to_DK02#alt3,3,55,3321.3,50.0,12.5,37.5,50.0,166066.0,0.3937,0.8465,0.0,
DB02_to_DK02#alt4,4,60,3592.0,50.0,12.5,37.5,158.1,179602.0,0.2835,0.5903,0.0,
DB02_to_DK02#alt5,5,67,4294.1,50.0,12.5,37.5,150.0,214706.0,0.2885,0.6065,0.0,
DB02_to_DK02#alt6,6,40,2550.6,50.0,12.5,37.5,50.0,127530.0,0.3947,0.8465,0.0,
DB02_to_DK02#alt7,7,92,5440.6,50.0,12.5,37.5,50.0,272028.0,0.3632,0.8465,0.0,
DB01_to_DK06#alt0,0,143,8715.4,50.0,12.5,37.5,50.0,435772.0,0.3609,0.8465,0.0,
DB01_to_DK06#alt1,1,150,9003.3,50.0,12.5,37.5,50.0,450165.0,0.4436,0.8465,0.0,
DB01_to_DK06#alt2,2,114,7079.0,50.0,12.5,37.5,50.0,353952.0,0.5413,0.8465,0.0,
DB01_to_DK06#alt3,3,70,4340.6,50.0,12.5,37.5,50.0,217028.0,0.5326,0.8465,0.0,
DB01_to_DK06#alt4,4,148,9110.4,50.0,12.5,37.5,50.0,455520.0,0.4863,0.8465,0.0,
DB01_to_DK06#alt5,5,78,4864.8,50.0,12.5,37.5,50.0,243241.0,0.5655,0.8465,0.0,
DB01_to_DK06#alt6,6,73,4552.7,50.0,12.5,37.5,50.0,227635.0,0.5738,0.8465,0.0,
DB01_to_DK06#alt7,7,87,5625.5,50.0,12.5,37.5,50.0,281274.0,0.4033,0.8465,0.0,
DB02_to_DK05#alt0,0,94,5416.3,50.0,12.5,37.5,50.0,270815.0,0.2733,0.79,0.0,
DB02_to_DK05#alt1,1,87,5294.1,50.0,12.5,37.5,50.0,264706.0,0.3693,0.8465,0.0,
DB02_to_DK05#alt2,2,89,5269.8,50.0,12.5,37.5,50.0,263492.0,0.4766,0.8465,0.0,
DB02_to_DK05#alt3,3,94,5747.7,50.0,12.5,37.5,50.0,287383.0,0.341,0.8465,0.0,
DB02_to_DK05#alt4,4,68,4199.1,50.0,12.5,37.5,50.0,209957.0,0.4287,0.8465,0.0,
DB02_to_DK05#alt5,5,66,3933.5,50.0,12.5,37.5,50.0,196673.0,0.315,0.8465,0.0,
DB02_to_DK05#alt6,6,95,5652.7,50.0,12.5,37.5,50.0,282635.0,0.5594,0.8465,0.0,
DB02_to_DK05#alt7,7,64,3916.3,50.0,12.5,37.5,50.0,195815.0,0.3287,0.8465,0.0,
DB01_to_DK02#alt0,0,63,3969.8,50.0,12.5,37.5,50.0,198492.0,0.5737,0.8465,0.0,
DB01_to_DK02#alt1,1,120,7171.9,50.0,12.5,37.5,50.0,358597.0,0.4703,0.8465,0.0,
DB01_to_DK02#alt2,2,80,5006.2,50.0,12.5,37.5,50.0,250312.0,0.5474,0.8465,0.0,
DB01_to_DK02#alt3,3,115,7108.3,50.0,12.5,37.5,50.0,355416.0,0.4313,0.8465,0.0,
DB01_to_DK02#alt4,4,56,3557.7,50.0,12.5,37.5,50.0,177886.0,0.4954,0.8465,0.0,
DB01_to_DK02#alt5,5,75,4694.1,50.0,12.5,37.5,50.0,234706.0,0.5913,0.8465,0.0,
DB01_to_DK02#alt6,6,142,8810.4,50.0,12.5,37.5,50.0,440520.0,0.4727,0.8465,0.0,
DB01_to_DK02#alt7,7,103,6466.9,50.0,12.5,37.5,50.0,323345.0,0.3776,0.8465,0.0,
DB02_to_DK06#alt0,0,37,2214.2,50.0,12.5,37.5,316.2,110711.0,0.2178,0.3485,0.0,
DB02_to_DK06#alt1,1,37,2338.5,50.0,12.5,37.5,320.2,116924.0,0.1839,0.344,0.0,
DB02_to_DK06#alt2,2,55,3404.2,50.0,12.5,37.5,50.0,170208.0,0.273,0.79,0.0,
DB02_to_DK06#alt3,3,37,2255.6,50.0,12.5,37.5,50.0,112782.0,0.3914,0.8465,0.0,
DB02_to_DK06#alt4,4,39,2438.5,50.0,12.5,37.5,250.0,121924.0,0.2252,0.4346,0.0,
DB02_to_DK06#alt5,5,37,2172.8,50.0,12.5,37.5,111.8,108640.0,0.3338,0.6889,0.0,
DB02_to_DK06#alt6,6,38,2367.8,50.0,12.5,37.5,50.0,118388.0,0.4662,0.8465,0.0,
DB02_to_DK06#alt7,7,52,3109.2,50.0,12.5,37.5,180.3,155459.0,0.2223,0.5483,0.0,
DB01_to_DK05#alt0,0,115,6942.6,50.0,12.5,37.5,50.0,347132.0,0.4271,0.8465,0.0,
DB01_to_DK05#alt1,1,142,8230.5,50.0,12.5,37.5,50.0,411525.0,0.3333,0.8465,0.0,
DB01_to_DK05#alt2,2,89,5477.0,50.0,12.5,37.5,50.0,273848.0,0.6025,0.8465,0.0,
DB01_to_DK05#alt3,3,223,12591.2,50.0,12.5,37.5,50.0,629558.0,0.2661,0.8465,0.0,
DB01_to_DK05#alt4,4,105,6318.4,50.0,12.5,37.5,50.0,315919.0,0.5302,0.8465,0.0,
DB01_to_DK05#alt5,5,79,4894.1,50.0,12.5,37.5,50.0,244706.0,0.4799,0.8465,0.0,
DB01_to_DK05#alt6,6,92,5564.8,50.0,12.5,37.5,50.0,278241.0,0.5323,0.8465,0.0,
DB01_to_DK05#alt7,7,99,6142.6,50.0,12.5,37.5,50.0,307132.0,0.5472,0.8465,0.0,
DB02_to_DK04#alt0,0,35,2155.6,50.0,12.5,37.5,50.0,107782.0,0.6088,0.8465,0.0,
DB02_to_DK04#alt1,1,37,2338.5,50.0,12.5,37.5,70.7,116924.0,0.4771,0.79,0.0,
DB02_to_DK04#alt2,2,35,2031.4,50.0,12.5,37.5,50.0,101569.0,0.4785,0.8465,0.0,
DB02_to_DK04#alt3,3,45,2738.5,50.0,12.5,37.5,50.0,136924.0,0.5199,0.8465,0.0,
DB02_to_DK04#alt4,4,35,2031.4,50.0,12.5,37.5,70.7,101569.0,0.5117,0.79,0.0,
DB02_to_DK04#alt5,5,37,2297.1,50.0,12.5,37.5,70.7,114853.0,0.5349,0.79,0.0,
DB02_to_DK04#alt6,6,61,3704.2,50.0,12.5,37.5,180.3,185208.0,0.304,0.5483,0.0,
DB02_to_DK04#alt7,7,36,2143.5,50.0,12.5,37.5,50.0,107175.0,0.5269,0.8465,0.0,
