route_key,direction,dk_name,db_name,success,message,path_node_ids,path_node_names,path_node_roles,tn_nodes,flz_nodes_on_route,n_nodes,n_edges,n_tn_nodes,n_flz_nodes_on_route,outer_zone_nodes_on_route,n_outer_zone_nodes,total_cost,total_distance_m,min_nofly_clearance_m,nearest_flz_distance_m,flz_buffer_required,flz_buffer_ok,flz_buffer_min_distance_m,flz_buffer_forced,flz_buffer_forced_ok,flz_buffer_via,tn_hard_required,tn_hard_ok,tn_hard_count,tn_hard_forced,tn_hard_forced_ok,tn_hard_via,hard_requirement_message
DB02_to_DK02_backward,backward,DK02,DB02,False,No ACO/Dijkstra path found.,,,,,,0,0,0,0,,0,inf,inf,,,True,True,,False,,,True,True,0.0,False,,,
DK02_to_DB02_outer_backup,outer_backup,DK02,DB02,False,No ACO/Dijkstra path found.,,,,,,0,0,0,0,,0,inf,inf,,,True,True,,False,,,True,True,0.0,False,,,
DK03_to_DB01_forward,forward,DK03,DB01,True,Path found by ACO.,9253;9151;6728;4103;2956,DK03;MAJ019;MAJ017;MIN006;DB01,DK;TN_major;TN_major;TN_minor;DB,MAJ019;MAJ017;MIN006,,5,4,3,0,MAJ019,1,13.141034422490087,4454.866098662726,100.0,237.3912284312055,True,True,237.3912284312055,False,,,True,True,3.0,False,,,
DB01_to_DK03_backward,backward,DK03,DB01,True,Path found by ACO.,2956;4103;6728;9151;9253,DB01;MIN006;MAJ017;MAJ019;DK03,DB;TN_minor;TN_major;TN_major;DK,MIN006;MAJ017;MAJ019,,5,4,3,0,MAJ019,1,13.141034422490087,4454.8660986627265,100.0,237.3912284312055,True,True,237.3912284312055,False,,,True,True,3.0,False,,,
DK03_to_DB01_outer_backup,outer_backup,DK03,DB01,True,Path found by ACO through an outer-zone waypoint.,9253;9151;9105;9151;9253;8943;4103;3476;4354;6073;2956,DK03;MAJ019;MAJ013;MAJ019;DK03;MAJ009;MIN006;MIN018;MIN016;MIN017;DB01,DK;TN_major;TN_major;TN_major;DK;TN_major;TN_minor;TN_minor;TN_minor;TN_minor;DB,MAJ019;MAJ013;MAJ019;MAJ009;MIN006;MIN018;MIN016;MIN017,,11,10,8,0,MAJ019;MAJ013;MAJ019;MAJ009;MIN016;MIN017,6,124.44456224355906,12817.930019799445,91.43973146174442,189.3730201868185,True,True,189.3730201868185,False,,,True,True,8.0,False,,,
DK03_to_DB02_forward,forward,DK03,DB02,True,Path found by ACO.,9253;9151;6728;4103;2956;4494;2711,DK03;MAJ019;MAJ017;MIN006;DB01;MAJ003;DB02,DK;TN_major;TN_major;TN_minor;DB;TN_major;DB,MAJ019;MAJ017;MIN006;MAJ003,,7,6,4,0,MAJ019,1,22.294345188490055,7795.685985852766,100.0,37.16517186829642,True,True,37.16517186829642,False,,,True,True,4.0,False,,,
DB02_to_DK03_backward,backward,DK03,DB02,True,Path found by ACO.,2711;4494;2956;4103;6728;9151;9253,DB02;MAJ003;DB01;MIN006;MAJ017;MAJ019;DK03,DB;TN_major;DB;TN_minor;TN_major;TN_major;DK,MAJ003;MIN006;MAJ017;MAJ019,,7,6,4,0,MAJ019,1,22.294345188490052,7795.685985852767,100.0,37.16517186829642,True,True,37.16517186829642,False,,,True,True,4.0,False,,,
DK03_to_DB02_outer_backup,outer_backup,DK03,DB02,True,Path found by ACO through an outer-zone waypoint.,9253;9151;8722;9151;9253;8943;4103;3204;2711,DK03;MAJ019;MAJ007;MAJ019;DK03;MAJ009;MIN006;MAJ012;DB02,DK;TN_major;TN_major;TN_major;DK;TN_major;TN_minor;TN_major;DB,MAJ019;MAJ007;MAJ019;MAJ009;MIN006;MAJ012,,9,8,6,0,MAJ019;MAJ007;MAJ019;MAJ009,4,137.44199927553476,6809.794006237911,150.00000000000009,76.6818234056566,True,True,76.6818234056566,False,,,True,True,6.0,False,,,
DK04_to_DB01_forward_forced,forward,DK04,DB01,True,Path found by ACO through an outer-zone waypoint. Forced via TN=- FLZ=FLZ04.,2329;4354;3058;2956;4494;4479;3008;3204;2711;2811;4805;2811;2711;3204;3008;4479;4494;2956,DK04;MIN016;MAJ015;DB01;MAJ003;MAJ011;MIN008;MAJ012;DB02;MAJ018;FLZ04;MAJ018;DB02;MAJ012;MIN008;MAJ011;MAJ003;DB01,DK;TN_minor;TN_major;DB;TN_major;TN_major;TN_minor;TN_major;DB;TN_major;FLZ;TN_major;DB;TN_major;TN_minor;TN_major;TN_major;DB,MIN016;MAJ015;MAJ003;MAJ011;MIN008;MAJ012;MAJ018;MAJ018;MAJ012;MIN008;MAJ011;MAJ003,FLZ04,18,17,12,1,MIN016,1,82.69469840783132,16420.216357334015,100.0,0.0,True,True,0.0,True,True,FLZ04,True,True,12.0,False,,,Forced via TN=- FLZ=FLZ04.
DB01_to_DK04_backward,backward,DK04,DB01,True,Path found by ACO.,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329,DB01;MAJ003;MAJ011;MIN008;MAJ012;DB02;MAJ018;FLZ04;MIN018;MAJ020;DK04,DB;TN_major;TN_major;TN_minor;TN_major;DB;TN_major;FLZ;TN_minor;TN_major;DK,MAJ003;MAJ011;MIN008;MAJ012;MAJ018;MIN018;MAJ020,FLZ04,11,10,7,1,MAJ020,1,56.23914343274603,10829.946437923536,100.0,0.0,True,True,0.0,False,,,True,True,7.0,False,,,
DK04_to_DB01_outer_backup_forced,outer_backup,DK04,DB01,True,Path found by ACO through an outer-zone waypoint. Forced via TN=- FLZ=FLZ04.,2329;2431;4046;3476;4805;3476;4046;2431;2329;4354;6073;2956,DK04;MAJ014;MAJ020;MIN018;FLZ04;MIN018;MAJ020;MAJ014;DK04;MIN016;MIN017;DB01,DK;TN_major;TN_major;TN_minor;FLZ;TN_minor;TN_major;TN_major;DK;TN_minor;TN_minor;DB,MAJ014;MAJ020;MIN018;MIN018;MAJ020;MAJ014;MIN016;MIN017,FLZ04,12,11,8,1,MAJ014;MAJ020;MAJ020;MAJ014;MIN016;MIN017,6,454.2134854536296,11043.127321418306,91.43973146174442,0.0,True,True,0.0,True,True,FLZ04,True,True,8.0,False,,,Forced via TN=- FLZ=FLZ04.
DK04_to_DB02_forward,forward,DK04,DB02,True,Path found by ACO.,2329;4046;3476;4805;2811;2711,DK04;MAJ020;MIN018;FLZ04;MAJ018;DB02,DK;TN_major;TN_minor;FLZ;TN_major;DB,MAJ020;MIN018;MAJ018,FLZ04,6,5,3,1,MAJ020,1,34.86735312837079,5416.437790298209,120.49124694171431,0.0,True,True,0.0,False,,,True,True,3.0,False,,,
DB02_to_DK04_backward,backward,DK04,DB02,True,Path found by ACO.,2711;2811;4805;3476;4046;2329,DB02;MAJ018;FLZ04;MIN018;MAJ020;DK04,DB;TN_major;FLZ;TN_minor;TN_major;DK,MAJ018;MIN018;MAJ020,FLZ04,6,5,3,1,MAJ020,1,34.86735312837079,5416.437790298209,120.49124694171431,0.0,True,True,0.0,False,,,True,True,3.0,False,,,
DK04_to_DB02_outer_backup,outer_backup,DK04,DB02,True,Path found by ACO through an outer-zone waypoint.,2329;2431;4046;2431;2329;4354;3476;3996;2711,DK04;MAJ014;MAJ020;MAJ014;DK04;MIN016;MIN018;MAJ022;DB02,DK;TN_major;TN_major;TN_major;DK;TN_minor;TN_minor;TN_major;DB,MAJ014;MAJ020;MAJ014;MIN016;MIN018;MAJ022,,9,8,6,0,MAJ014;MAJ020;MAJ014;MIN016,4,163.30841521522603,6723.42527507217,153.9710231262333,65.0182076475691,True,True,65.0182076475691,False,,,True,True,6.0,False,,,
DK05_to_DB01_forward_forced,forward,DK05,DB01,True,Path found by ACO through an outer-zone waypoint. Forced via TN=- FLZ=FLZ03.,9104;8425;5292;5701;1955;1555;2956;3058;4103;7231;6708;8127;6708;8533;7208;7231;4103;3058;2956,DK05;MAJ008;MIN001;MIN002;MIN022;MIN020;DB01;MAJ015;MIN006;MIN013;MIN003;FLZ03;MIN003;MIN005;MIN012;MIN013;MIN006;MAJ015;DB01,DK;TN_major;TN_minor;TN_minor;TN_minor;TN_minor;DB;TN_major;TN_minor;TN_minor;TN_minor;FLZ;TN_minor;TN_minor;TN_minor;TN_minor;TN_minor;TN_major;DB,MAJ008;MIN001;MIN002;MIN022;MIN020;MAJ015;MIN006;MIN013;MIN003;MIN003;MIN005;MIN012;MIN013;MIN006;MAJ015,FLZ03,19,18,15,1,,0,57.53538639036459,18775.39354234795,84.96431551682477,0.0,True,True,0.0,True,True,FLZ03,True,True,15.0,False,,,Forced via TN=- FLZ=FLZ03.
DB01_to_DK05_backward,backward,DK05,DB01,True,Path found by ACO.,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104,DB01;MAJ015;MIN006;MIN013;MIN012;MIN005;MIN003;FLZ03;MAJ013;DK05,DB;TN_major;TN_minor;TN_minor;TN_minor;TN_minor;TN_minor;FLZ;TN_major;DK,MAJ015;MIN006;MIN013;MIN012;MIN005;MIN003;MAJ013,FLZ03,10,9,7,1,MAJ013,1,46.32949174407145,8917.83889590758,100.0,0.0,True,True,0.0,False,,,True,True,7.0,False,,,
DK05_to_DB01_outer_backup_forced,outer_backup,DK05,DB01,True,Path found by ACO through an outer-zone waypoint. Forced via TN=- FLZ=FLZ03.,9104;9105;9151;9253;9312;8943;7214;7213;6708;3476;4046;2329;2431;2739;4354;6073;3058;2956;5701;8425;8719;8722;8127;6291;5693;5292;3058;2956,DK05;MAJ013;MAJ019;DK03;MIN004;MAJ009;MAJ005;DK01;MIN003;MIN018;MAJ020;DK04;MAJ014;MIN010;MIN016;MIN017;MAJ015;DB01;MIN002;MAJ008;DK06;MAJ007;FLZ03;MAJ016;MIN007;MIN001;MAJ015;DB01,DK;TN_major;TN_major;DK;TN_minor;TN_major;TN_major;DK;TN_minor;TN_minor;TN_major;DK;TN_major;TN_minor;TN_minor;TN_minor;TN_major;DB;TN_minor;TN_major;DK;TN_major;FLZ;TN_major;TN_minor;TN_minor;TN_major;DB,MAJ013;MAJ019;MIN004;MAJ009;MAJ005;MIN003;MIN018;MAJ020;MAJ014;MIN010;MIN016;MIN017;MAJ015;MIN002;MAJ008;MAJ007;MAJ016;MIN007;MIN001;MAJ015,FLZ03,28,27,20,1,MAJ013;MAJ019;MIN004;MAJ009;MAJ020;MAJ014;MIN010;MIN016;MIN017;MAJ007,10,824.8733547245608,23243.546729193244,87.17053401856371,0.0,True,True,0.0,True,True,FLZ03,True,True,20.0,False,,,Forced via TN=- FLZ=FLZ03.
DK05_to_DB02_forward,forward,DK05,DB02,True,Path found by ACO.,9104;9105;8127;6708;8533;7208;7231;4103;3058;2956;3996;2711,DK05;MAJ013;FLZ03;MIN003;MIN005;MIN012;MIN013;MIN006;MAJ015;DB01;MAJ022;DB02,DK;TN_major;FLZ;TN_minor;TN_minor;TN_minor;TN_minor;TN_minor;TN_major;DB;TN_major;DB,MAJ013;MIN003;MIN005;MIN012;MIN013;MIN006;MAJ015;MAJ022,FLZ03,12,11,8,1,MAJ013,1,55.649555466438215,12042.512630035082,100.0,0.0,True,True,0.0,False,,,True,True,8.0,False,,,
DB02_to_DK05_backward,backward,DK05,DB02,True,Path found by ACO.,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104,DB02;MAJ022;DB01;MAJ015;MIN006;MIN013;MIN012;MIN005;MIN003;FLZ03;MAJ013;DK05,DB;TN_major;DB;TN_major;TN_minor;TN_minor;TN_minor;TN_minor;TN_minor;FLZ;TN_major;DK,MAJ022;MAJ015;MIN006;MIN013;MIN012;MIN005;MIN003;MAJ013,FLZ03,12,11,8,1,MAJ013,1,55.649555466438215,12042.51263003508,100.0,0.0,True,True,0.0,False,,,True,True,8.0,False,,,
DK05_to_DB02_outer_backup,outer_backup,DK05,DB02,True,Path found by ACO through an outer-zone waypoint.,9104;9105;8489;9105;9104;9151;9253;8943;4103;2711,DK05;MAJ013;MIN009;MAJ013;DK05;MAJ019;DK03;MAJ009;MIN006;DB02,DK;TN_major;TN_minor;TN_major;DK;TN_major;DK;TN_major;TN_minor;DB,MAJ013;MIN009;MAJ013;MAJ019;MAJ009;MIN006,,10,9,6,0,MAJ013;MIN009;MAJ013;MAJ019;MAJ009,5,108.70253018237358,7804.635205540729,95.01461875826152,32.34120221587586,True,True,32.34120221587586,False,,,True,True,6.0,False,,,
DK06_to_DB01_forward_forced,forward,DK06,DB01,True,Path found by ACO through an outer-zone waypoint. Forced via TN=- FLZ=FLZ03.,8719;8425;5292;2956;3058;5701;5693;8127;5693;5701;3058;2956,DK06;MAJ008;MIN001;DB01;MAJ015;MIN002;MIN007;FLZ03;MIN007;MIN002;MAJ015;DB01,DK;TN_major;TN_minor;DB;TN_major;TN_minor;TN_minor;FLZ;TN_minor;TN_minor;TN_major;DB,MAJ008;MIN001;MAJ015;MIN002;MIN007;MIN007;MIN002;MAJ015,FLZ03,12,11,8,1,,0,61.56377520871037,9996.414856727577,100.0,0.0,True,True,0.0,True,True,FLZ03,True,True,8.0,False,,,Forced via TN=- FLZ=FLZ03.
DB01_to_DK06_backward,backward,DK06,DB01,True,Path found by ACO.,2956;3058;5701;5693;8127;8533;8719,DB01;MAJ015;MIN002;MIN007;FLZ03;MIN005;DK06,DB;TN_major;TN_minor;TN_minor;FLZ;TN_minor;DK,MAJ015;MIN002;MIN007;MIN005,FLZ03,7,6,4,1,,0,38.2746801598786,4353.765707399395,100.0,0.0,True,True,0.0,False,,,True,True,4.0,False,,,
DK06_to_DB01_outer_backup,outer_backup,DK06,DB01,True,Path found by ACO through an outer-zone waypoint.,8719;8722;9105;8722;8719;8943;4103;2956,DK06;MAJ007;MAJ013;MAJ007;DK06;MAJ009;MIN006;DB01,DK;TN_major;TN_major;TN_major;DK;TN_major;TN_minor;DB,MAJ007;MAJ013;MAJ007;MAJ009;MIN006,,8,7,5,0,MAJ007;MAJ013;MAJ007;MAJ009,4,113.97787879101652,7857.549968953082,100.0,189.3730201868185,True,True,189.3730201868185,False,,,True,True,5.0,False,,,
DK06_to_DB02_forward,forward,DK06,DB02,True,Path found by ACO.,8719;8533;8127;5693;5701;3058;2956;4103;2711,DK06;MIN005;FLZ03;MIN007;MIN002;MAJ015;DB01;MIN006;DB02,DK;TN_minor;FLZ;TN_minor;TN_minor;TN_major;DB;TN_minor;DB,MIN005;MIN007;MIN002;MAJ015;MIN006,FLZ03,9,8,5,1,,0,47.37116537048407,7539.759210911796,100.0,0.0,True,True,0.0,False,,,True,True,5.0,False,,,
DB02_to_DK06_backward,backward,DK06,DB02,True,Path found by ACO.,2711;4103;2956;3058;5701;5693;8127;8533;8719,DB02;MIN006;DB01;MAJ015;MIN002;MIN007;FLZ03;MIN005;DK06,DB;TN_minor;DB;TN_major;TN_minor;TN_minor;FLZ;TN_minor;DK,MIN006;MAJ015;MIN002;MIN007;MIN005,FLZ03,9,8,5,1,,0,47.371165370484064,7539.759210911797,100.0,0.0,True,True,0.0,False,,,True,True,5.0,False,,,
DK06_to_DB02_outer_backup,outer_backup,DK06,DB02,True,Path found by ACO through an outer-zone waypoint.,8719;8722;9105;8722;8719;9151;9253;8943;5615;2711,DK06;MAJ007;MAJ013;MAJ007;DK06;MAJ019;DK03;MAJ009;MAJ010;DB02,DK;TN_major;TN_major;TN_major;DK;TN_major;DK;TN_major;TN_major;DB,MAJ007;MAJ013;MAJ007;MAJ019;MAJ009;MAJ010,,10,9,6,0,MAJ007;MAJ013;MAJ007;MAJ019;MAJ009,5,109.25571957745525,7886.7196271636685,139.43510591070893,226.69117514559093,True,True,226.69117514559093,False,,,True,True,6.0,False,,,
TA001_MAJ013_DK05_to_DB01,ta_coverage,DK05,DB01,True,TA coverage scenario through MAJ013. Path found by ACO through an outer-zone waypoint.,9104;9105;9104;9312;8425;3476;2956,DK05;MAJ013;DK05;MIN004;MAJ008;MIN018;DB01,DK;TN_major;DK;TN_minor;TN_major;TN_minor;DB,MAJ013;MIN004;MAJ008;MIN018,,7,6,4,0,MAJ013;MIN004,2,21.538993130455896,4845.2836134594045,100.0,250.0,,,,,,,,,,,,,
TA002_MAJ018_DK01_to_DB02,ta_coverage,DK01,DB02,True,TA coverage scenario through MAJ018. Path found by ACO through an outer-zone waypoint.,7213;7214;6728;3204;2711;2811;5615;6728;8026;7214;7213;7231;3204;2711,DK01;MAJ005;MAJ017;MAJ012;DB02;MAJ018;MAJ010;MAJ017;MAJ004;MAJ005;DK01;MIN013;MAJ012;DB02,DK;TN_major;TN_major;TN_major;DB;TN_major;TN_major;TN_major;TN_major;TN_major;DK;TN_minor;TN_major;DB,MAJ005;MAJ017;MAJ012;MAJ018;MAJ010;MAJ017;MAJ004;MAJ005;MIN013;MAJ012,,14,13,10,0,,0,34.04787854457561,11133.033674001246,150.00000000000009,30.217134831078532,,,,,,,,,,,,,
TA003_MAJ015_DK04_to_DB01,ta_coverage,DK04,DB01,True,TA coverage scenario through MAJ015. Path found by ACO through an outer-zone waypoint.,2329;6073;3058;4354;2431;2329;6073;2956,DK04;MIN017;MAJ015;MIN016;MAJ014;DK04;MIN017;DB01,DK;TN_minor;TN_major;TN_minor;TN_major;DK;TN_minor;DB,MIN017;MAJ015;MIN016;MAJ014;MIN017,,8,7,5,0,MIN017;MIN016;MAJ014;MIN017,4,37.431604231716484,9255.001993064554,89.46447749561842,1721.796961051594,,,,,,,,,,,,,
TA004_MAJ019_DK03_to_DB02,ta_coverage,DK03,DB02,True,TA coverage scenario through MAJ019. Path found by ACO through an outer-zone waypoint.,9253;9151;9253;7214;7213;5615;2711,DK03;MAJ019;DK03;MAJ005;DK01;MAJ010;DB02,DK;TN_major;DK;TN_major;DK;TN_major;DB,MAJ019;MAJ005;MAJ010,,7,6,3,0,MAJ019,1,13.194476641851002,4689.311208437576,166.19265928433782,166.22496742643202,,,,,,,,,,,,,
TA005_MAJ004_DK01_to_DB01,ta_coverage,DK01,DB01,True,TA coverage scenario through MAJ004. Path found by ACO through an outer-zone waypoint.,7213;7214;9253;9151;8026;9151;9253;7214;7213;5701;3058;2956,DK01;MAJ005;DK03;MAJ019;MAJ004;MAJ019;DK03;MAJ005;DK01;MIN002;MAJ015;DB01,DK;TN_major;DK;TN_major;TN_major;TN_major;DK;TN_major;DK;TN_minor;TN_major;DB,MAJ005;MAJ019;MAJ004;MAJ019;MAJ005;MIN002;MAJ015,,12,11,7,0,MAJ019;MAJ019,2,25.42747684599874,7169.279644399018,100.0,43.47909956249568,,,,,,,,,,,,,
TA006_MAJ014_DK04_to_DB01,ta_coverage,DK04,DB01,True,TA coverage scenario through MAJ014. Path found by ACO through an outer-zone waypoint.,2329;2431;2329;4354;3058;2956,DK04;MAJ014;DK04;MIN016;MAJ015;DB01,DK;TN_major;DK;TN_minor;TN_major;DB,MAJ014;MIN016;MAJ015,,6,5,3,0,MAJ014;MIN016,2,17.117049918007844,2312.9551687120147,100.0,1724.0939649566667,,,,,,,,,,,,,
TA007_MAJ005_DK01_to_DB01,ta_coverage,DK01,DB01,True,TA coverage scenario through MAJ005. Path found by ACO through an outer-zone waypoint.,7213;7214;7213;5292;2956,DK01;MAJ005;DK01;MIN001;DB01,DK;TN_major;DK;TN_minor;DB,MAJ005;MIN001,,5,4,2,0,,0,9.260403824047076,2376.2331400894304,100.0,492.44289008980525,,,,,,,,,,,,,
TA008_MAJ002_DK01_to_DB01,ta_coverage,DK01,DB01,False,Failed leg1 (7213->4893): No ACO/Dijkstra path found.,,,,,,0,0,0,0,,0,inf,inf,,,,,,,,,,,,,,,
TA009_MAJ003_DK01_to_DB01,ta_coverage,DK01,DB01,True,TA coverage scenario through MAJ003. Path found by ACO through an outer-zone waypoint.,7213;7214;3476;3865;4494;4103;6728;8425;8026;7214;7213;8533;6708;5292;2956,DK01;MAJ005;MIN018;MIN011;MAJ003;MIN006;MAJ017;MAJ008;MAJ004;MAJ005;DK01;MIN005;MIN003;MIN001;DB01,DK;TN_major;TN_minor;TN_minor;TN_major;TN_minor;TN_major;TN_major;TN_major;TN_major;DK;TN_minor;TN_minor;TN_minor;DB,MAJ005;MIN018;MIN011;MAJ003;MIN006;MAJ017;MAJ008;MAJ004;MAJ005;MIN005;MIN003;MIN001,,15,14,12,0,,0,43.8269856053836,11708.208521672364,100.0,23.57022603955137,,,,,,,,,,,,,
TA010_MAJ007_DK06_to_DB01,ta_coverage,DK06,DB01,True,TA coverage scenario through MAJ007. Path found by ACO through an outer-zone waypoint.,8719;8722;8719;5615;3996;3058;2956,DK06;MAJ007;DK06;MAJ010;MAJ022;MAJ015;DB01,DK;TN_major;DK;TN_major;TN_major;TN_major;DB,MAJ007;MAJ010;MAJ022;MAJ015,,7,6,4,0,MAJ007,1,20.157890192162824,4758.354832101984,89.2936504409486,31.265134743337473,,,,,,,,,,,,,
TA011_MAJ006_DK06_to_DB01,ta_coverage,DK06,DB01,True,TA coverage scenario through MAJ006. Path found by ACO through an outer-zone waypoint.,8719;8722;8413;8722;8719;8533;8026;5701;2956,DK06;MAJ007;MAJ006;MAJ007;DK06;MIN005;MAJ004;MIN002;DB01,DK;TN_major;TN_major;TN_major;DK;TN_minor;TN_major;TN_minor;DB,MAJ007;MAJ006;MAJ007;MIN005;MAJ004;MIN002,,9,8,6,0,MAJ007;MAJ007,2,27.78989322204876,4823.142120456831,100.0,18.633899812498385,,,,,,,,,,,,,
TA012_MAJ021_DK02_to_DB01,ta_coverage,DK02,DB01,False,Failed leg1 (8086->7885): No ACO/Dijkstra path found.,,,,,,0,0,0,0,,0,inf,inf,,,,,,,,,,,,,,,
TA013_MAJ008_DK06_to_DB01,ta_coverage,DK06,DB01,True,TA coverage scenario through MAJ008. Path found by ACO through an outer-zone waypoint.,8719;8425;8719;8141;6291;5292;2956,DK06;MAJ008;DK06;MIN015;MAJ016;MIN001;DB01,DK;TN_major;DK;TN_minor;TN_major;TN_minor;DB,MAJ008;MIN015;MAJ016;MIN001,,7,6,4,0,,0,26.867398948223812,6280.509298174947,100.0,146.82530245547446,,,,,,,,,,,,,
TA014_MAJ017_DK01_to_DB02,ta_coverage,DK01,DB02,True,TA coverage scenario through MAJ017. Path found by ACO through an outer-zone waypoint.,7213;7214;6728;7214;7213;8026;5615;2711,DK01;MAJ005;MAJ017;MAJ005;DK01;MAJ004;MAJ010;DB02,DK;TN_major;TN_major;TN_major;DK;TN_major;TN_major;DB,MAJ005;MAJ017;MAJ005;MAJ004;MAJ010,,8,7,5,0,,0,16.794614616064706,5815.540705344963,180.27756377319946,50.0,,,,,,,,,,,,,
